PC Name,Caste,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Bhavnagar,GEN,Gujarat,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),Bharatiya Janta Party,1381619,623341,0.451,5893,0.009,2009
Bhopal,GEN,Madhya Pradesh,Kailash Joshi,Bharatiya Janta Party,1461714,659263,0.451,65157,0.099,2009
Bilaspur,GEN,Chhattisgarh,Dilip Singh Judev,Bharatiya Janta Party,1472793,770089,0.523,20139,0.026,2009
Chandrapur,GEN,Maharashtra,Ahir Hansaraj Gangaram,Bharatiya Janta Party,1536352,898509,0.585,32495,0.036,2009
Chikkodi,GEN,Karnataka,Katti Ramesh Vishwanath,Bharatiya Janta Party,1284427,868001,0.676,55287,0.064,2009
Churu,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,1532266,802665,0.524,12440,0.015,2009
Dadra & Nagar Haveli,GEN,Dadra & Nagar Haveli,Patel Natubhai Gomanbhai,Bharatiya Janta Party,150704,110363,0.732,618,0.006,2009
Dakshina Kannada,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1364641,1016135,0.745,40420,0.04,2009
Daman & Diu,GEN,Daman & Diu,Lalubhai Patel,Bharatiya Janta Party,95382,68023,0.713,24838,0.365,2009
Damoh,GEN,Madhya Pradesh,Shivraj Bhaiya,Bharatiya Janta Party,1357985,599295,0.441,70877,0.118,2009
Darbhanga,GEN,Bihar,Kirti Azad,Bharatiya Janta Party,1307067,545726,0.418,46453,0.085,2009
Darjeeling,GEN,West Bengal,Jaswant Singh,Bharatiya Janta Party,1215464,967400,0.796,253289,0.262,2009
Davanagere,GEN,Karnataka,G.M. Siddeswara,Bharatiya Janta Party,1344920,907281,0.675,2024,0.002,2009
Dhanbad,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,1806475,813521,0.45,58047,0.071,2009
Dharwad,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1411500,798496,0.566,137663,0.172,2009
Dhule,GEN,Maharashtra,Sonawane Pratap Narayanrao,Bharatiya Janta Party,1575227,670487,0.426,19419,0.029,2009
Durg,GEN,Chhattisgarh,Saroj Pandey,Bharatiya Janta Party,1620400,905900,0.559,9954,0.011,2009
Gandhinagar,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,1555709,791098,0.509,121747,0.154,2009
Gauhati,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,1723860,1109000,0.643,11855,0.011,2009
Ghaziabad,GEN,Uttar Pradesh,Rajnath Singh,Bharatiya Janta Party,1831688,830144,0.453,90681,0.109,2009
Giridih,GEN,Jharkhand,Ravindra Kumar Pandey,Bharatiya Janta Party,1346527,619311,0.46,94738,0.153,2009
Godda,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,1412253,797695,0.565,6407,0.008,2009
Gorakhpur,GEN,Uttar Pradesh,Adityanath,Bharatiya Janta Party,1696474,748613,0.441,220271,0.294,2009
Gwalior,GEN,Madhya Pradesh,Yashodhara Raje Scindia,Bharatiya Janta Party,1420728,584165,0.411,26591,0.046,2009
Hamirpur,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1187377,699687,0.589,72732,0.104,2009
Haveri,GEN,Karnataka,Udasi Shivkumar Chanabasappa,Bharatiya Janta Party,1371763,872262,0.636,87920,0.101,2009
Hazaribagh,GEN,Jharkhand,Yashwant Sinha,Bharatiya Janta Party,1301651,690936,0.531,40164,0.058,2009
Indore,GEN,Madhya Pradesh,Sumitra Mahajan (TAI),Bharatiya Janta Party,1570094,797171,0.508,11480,0.014,2009
Jabalpur,GEN,Madhya Pradesh,Rakesh Singh,Bharatiya Janta Party,1446345,633495,0.438,106003,0.167,2009
Jalgaon,GEN,Maharashtra,A.T. Nana Patil,Bharatiya Janta Party,1549391,656612,0.424,96020,0.146,2009
Jalna,GEN,Maharashtra,Danve Raosaheb Dadarao Patil,Bharatiya Janta Party,1426255,797213,0.559,8482,0.011,2009
Jalore,GEN,Rajasthan,Devji Patel,Bharatiya Janta Party,1520957,577810,0.38,49805,0.086,2009
Jamshedpur,GEN,Jharkhand,Arjun Munda,Bharatiya Janta Party,1380279,705570,0.511,119663,0.17,2009
Jhalawar-Baran,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1447157,872015,0.603,52841,0.061,2009
Junagadh,GEN,Gujarat,Solanki Dinubhai Boghabhai,Bharatiya Janta Party,1313064,760085,0.579,13759,0.018,2009
Kangra,GEN,Himachal Pradesh,Dr. Rajan Sushant,Bharatiya Janta Party,1200165,662248,0.552,20779,0.031,2009
Katihar,GEN,Bihar,Nikhil Kumar Choudhary,Bharatiya Janta Party,1272769,724942,0.57,14015,0.019,2009
Khajuraho,GEN,Madhya Pradesh,Jeetendra Singh Bundela,Bharatiya Janta Party,1349511,583085,0.432,28332,0.049,2009
Koppal,GEN,Karnataka,Shivaramagouda Shivanagouda,Bharatiya Janta Party,1363431,754803,0.554,81789,0.108,2009
Lucknow,GEN,Uttar Pradesh,Lal Ji Tandon,Bharatiya Janta Party,1653123,587772,0.356,40901,0.07,2009
Madhubani,GEN,Bihar,Hukmadeo Narayan Yadav,Bharatiya Janta Party,1397256,556572,0.398,9927,0.018,2009
Mahasamund,GEN,Chhattisgarh,Chandulal Sahu (Chandu Bhaiya),Bharatiya Janta Party,1369154,776337,0.567,51475,0.066,2009
Mahesana,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1393970,692685,0.497,21865,0.032,2009
Mangaldoi,GEN,Assam,Ramen Deka,Bharatiya Janta Party,1416682,988448,0.698,55849,0.057,2009
Meerut,GEN,Uttar Pradesh,Rajendra Agarwal,Bharatiya Janta Party,1508788,727732,0.482,47146,0.065,2009
Morena,GEN,Madhya Pradesh,Narendra Singh Tomar,Bharatiya Janta Party,1339897,710660,0.53,100997,0.142,2009
Navsari,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1623415,757579,0.467,132643,0.175,2009
Nawada,GEN,Bihar,Bhola Singh,Bharatiya Janta Party,1397512,581583,0.416,34917,0.06,2009
North Goa,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,486983,292408,0.6,6353,0.022,2009
Nowgong,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,1411331,998937,0.708,45380,0.045,2009
Panchmahal,GEN,Gujarat,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,1423385,606673,0.426,2081,0.003,2009
Paschim Champaran,GEN,Bihar,Dr. Sanjay Jaiswal,Bharatiya Janta Party,1220868,515490,0.422,47343,0.092,2009
Patna Sahib,GEN,Bihar,Shatrughan Sinha,Bharatiya Janta Party,1641976,552538,0.337,166770,0.302,2009
Pilibhit,GEN,Uttar Pradesh,Varun Gandhi,Bharatiya Janta Party,1310007,837650,0.639,281501,0.336,2009
Purnia,GEN,Bihar,Uday Singh Alias Pappu Singh,Bharatiya Janta Party,1305396,704866,0.54,186227,0.264,2009
Purvi Champaran,GEN,Bihar,Radha Mohan Singh,Bharatiya Janta Party,1187264,482094,0.406,79290,0.164,2009
Raipur,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,1578868,741969,0.47,57901,0.078,2009
Rajnandgaon,GEN,Chhattisgarh,Madhusudan Yadav,Bharatiya Janta Party,1411051,830578,0.589,119074,0.143,2009
Raver,GEN,Maharashtra,Haribhau Madhav Jawale,Bharatiya Janta Party,1418691,720215,0.508,28218,0.039,2009
Sabarkantha,GEN,Gujarat,Chauhan Mahendrasinh,Bharatiya Janta Party,1452240,717642,0.494,17160,0.024,2009
Sagar,GEN,Madhya Pradesh,Bhupendra Singh,Bharatiya Janta Party,1185166,570342,0.481,131168,0.23,2009
Satna,GEN,Madhya Pradesh,Ganesh Singh,Bharatiya Janta Party,1207500,659947,0.547,4418,0.007,2009
Sheohar,GEN,Bihar,Rama Devi,Bharatiya Janta Party,1269056,573012,0.452,125684,0.219,2009
Shimoga,GEN,Karnataka,B.Y. Raghavendra,Bharatiya Janta Party,1435908,954752,0.665,52893,0.055,2009
Sidhi,GEN,Madhya Pradesh,Govind Prasad Mishra,Bharatiya Janta Party,1358291,675867,0.498,45740,0.068,2009
Silchar,GEN,Assam,Kabindra Purkayastha,Bharatiya Janta Party,978510,688547,0.704,41470,0.06,2009
Surat,GEN,Gujarat,Shrimati Darshana Vikram Jardosh,Bharatiya Janta Party,1420969,695809,0.49,74798,0.107,2009
Tumkur,GEN,Karnataka,G.S. Basavaraj,Bharatiya Janta Party,1388773,899917,0.648,21445,0.024,2009
Udupi Chikmagalur,GEN,Karnataka,D.V.Sadananda Gowda,Bharatiya Janta Party,1224335,835648,0.683,27018,0.032,2009
Uttara Kannada,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1286556,760547,0.591,22769,0.03,2009
Vadodara,GEN,Gujarat,Balkrishna Khanderao Shukla (Balu Shukla),Bharatiya Janta Party,1524060,747196,0.49,136028,0.182,2009
Varanasi,GEN,Uttar Pradesh,Dr. Murli Manohar Joshi,Bharatiya Janta Party,1561854,665719,0.426,17211,0.026,2009
Vidisha,GEN,Madhya Pradesh,Sushma Swaraj,Bharatiya Janta Party,1233394,556170,0.451,389844,0.701,2009
Ahmedabad,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1382793,548391,0.397,77605,0.142,2004
Ajmer,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,1203803,529138,0.44,127976,0.242,2004
Akola,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1271055,734524,0.578,106371,0.145,2004
Amritsar,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,1292902,711808,0.551,109532,0.154,2004
Araria,GEN,Bihar,Sukdeo Paswan,Bharatiya Janta Party,1184962,652439,0.551,27744,0.043,2004
Arunachal East,GEN,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,289606,162704,0.562,44994,0.277,2004
Arunachal West,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,394428,220618,0.559,47424,0.215,2004
Bagalkot,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1324829,866238,0.654,167383,0.193,2004
Bangalore North,GEN,Karnataka,Dr. H.T. Sangliana,Bharatiya Janta Party,2133579,1157337,0.542,30358,0.026,2004
Bangalore South,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,1620352,800632,0.494,62271,0.078,2004
Banswara,GEN,Rajasthan,Dhan Singh Rawat,Bharatiya Janta Party,1373808,665376,0.484,21683,0.033,2004
Barmer,GEN,Rajasthan,Manvendra Singh,Bharatiya Janta Party,1639188,1046857,0.639,271888,0.26,2004
Baroda,GEN,Gujarat,Jayaben Thakkar,Bharatiya Janta Party,1656867,651977,0.394,6603,0.01,2004
Bastar,GEN,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,1039442,450417,0.433,54373,0.121,2004
Belgaum,GEN,Karnataka,Angadi Suresh Chanabasappa,Bharatiya Janta Party,1354182,892332,0.659,84753,0.095,2004
Betul,GEN,Madhya Pradesh,Khandelwal Vijay Kumar (MUNNI BHAIA),Bharatiya Janta Party,1122830,547321,0.487,157540,0.288,2004
Bhagalpur,GEN,Bihar,Sushil Kumar Modi,Bharatiya Janta Party,1388037,757266,0.546,117853,0.156,2004
Bhandara,GEN,Maharashtra,Patle Shishupal Natthu,Bharatiya Janta Party,1006061,679727,0.676,3009,0.004,2004
Bhopal,GEN,Madhya Pradesh,Kailash Joshi,Bharatiya Janta Party,1847544,857893,0.464,306005,0.357,2004
Bidar,GEN,Karnataka,Ramchandra Veerappa,Bharatiya Janta Party,1372985,814933,0.594,23621,0.029,2004
Bilaspur,GEN,Chhattisgarh,Punnulal Mohle,Bharatiya Janta Party,1411786,621304,0.44,81553,0.131,2004
Chandrapur,GEN,Maharashtra,Ahir Hansraj Gangaram,Bharatiya Janta Party,1329746,840271,0.632,59823,0.071,2004
Chikkodi,GEN,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,1184275,836452,0.706,43492,0.052,2004
Chikmagalur,GEN,Karnataka,D. C. Srikantappa,Bharatiya Janta Party,1121327,817048,0.729,73672,0.09,2004
Chimur,GEN,Maharashtra,Shivankar Mahadeorao Sukaji,Bharatiya Janta Party,1113832,774672,0.696,98774,0.128,2004
Churu,GEN,Rajasthan,Ramsingh Kaswan,Bharatiya Janta Party,1371821,832555,0.607,29854,0.036,2004
Dahod,GEN,Gujarat,Katara Babubhai Khimabhai,Bharatiya Janta Party,1212453,517809,0.427,361,0.001,2004
Damoh,GEN,Madhya Pradesh,Chandrabhan Bhaiya,Bharatiya Janta Party,1398539,591038,0.423,94595,0.16,2004
Deogarh,GEN,Orissa,Dharmendra Pradhan,Bharatiya Janta Party,1219887,823184,0.675,79096,0.096,2004
Dhandhuka,GEN,Gujarat,Varma Ratilal Kalidas,Bharatiya Janta Party,1156178,516531,0.447,22794,0.044,2004
Dharwad North,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1250578,809816,0.648,83078,0.103,2004
Dharwad South,GEN,Karnataka,Kunnur Manjunath Channappa,Bharatiya Janta Party,1204353,865016,0.718,145112,0.168,2004
Erandol,GEN,Maharashtra,Annasaheb M. K. Patil,Bharatiya Janta Party,1214861,609392,0.502,8141,0.013,2004
Gandhinagar,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,2126829,845212,0.397,217138,0.257,2004
Garhwal,GEN,Uttarakhand,Maj. Gen. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,1081299,499546,0.462,50962,0.102,2004
Godhra,GEN,Gujarat,Solanki Bhupendrasinh Prabhatsinh,Bharatiya Janta Party,1143516,537101,0.47,53719,0.1,2004
Gurdaspur,GEN,Punjab,Vinod Khanna,Bharatiya Janta Party,1210260,785813,0.649,24983,0.032,2004
Hoshangabad,GEN,Madhya Pradesh,Sartaj Singh,Bharatiya Janta Party,1287203,633736,0.492,136409,0.215,2004
Hoshiarpur,GEN,Punjab,Avinash Rai Khanna,Bharatiya Janta Party,1137423,655662,0.576,104371,0.159,2004
Indore,GEN,Madhya Pradesh,Sumitra Mahajan (TAI),Bharatiya Janta Party,1678030,854240,0.509,193936,0.227,2004
Jaipur,GEN,Rajasthan,Girdhari Lal Bhargava,Bharatiya Janta Party,1896856,880276,0.464,107186,0.122,2004
Jalgaon,GEN,Maharashtra,Y. G. Mahajan (SIR),Bharatiya Janta Party,1239241,616072,0.497,20646,0.034,2004
Jalna,GEN,Maharashtra,Danve Raosaheb Dadarao Patil,Bharatiya Janta Party,1242929,755991,0.608,61332,0.081,2004
Jalore,GEN,Rajasthan,B. Susheela,Bharatiya Janta Party,1428584,654757,0.458,39192,0.06,2004
Jhalawar,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1188576,567172,0.477,81579,0.144,2004
Jodhpur,GEN,Rajasthan,Jaswant Singh Bishnoi,Bharatiya Janta Party,1572050,863578,0.549,42495,0.049,2004
Kalahandi,GEN,Orissa,Bikram Keshari Deo,Bharatiya Janta Party,1132680,753897,0.666,34122,0.045,2004
Kanker,GEN,Chhattisgarh,Sohan Potai,Bharatiya Janta Party,1152128,553195,0.48,73626,0.133,2004
Katihar,GEN,Bihar,Nikhil Kumar Choudhary,Bharatiya Janta Party,1158042,704422,0.608,2565,0.004,2004
Khandwa,GEN,Madhya Pradesh,Nand Kumar Singh Chauhan ( NANDU BHAIYA),Bharatiya Janta Party,1217726,605099,0.497,102737,0.17,2004
Kodarma,GEN,Jharkhand,Babulal Marandi,Bharatiya Janta Party,1325734,825697,0.623,154944,0.188,2004
Kota,GEN,Rajasthan,Raghuveer Singh Koshal,Bharatiya Janta Party,1327073,578740,0.436,71778,0.124,2004
Latur,GEN,Maharashtra,Patil Rupatai Diliprao Nilangekar,Bharatiya Janta Party,1293202,820746,0.635,30891,0.038,2004
Malegaon,GEN,Maharashtra,Harischandra Devram Chavan,Bharatiya Janta Party,1222363,590436,0.483,4528,0.008,2004
Mandla,GEN,Madhya Pradesh,Faggan Singh Kulaste,Bharatiya Janta Party,1095134,588178,0.537,64897,0.11,2004
Mangaldoi,GEN,Assam,Narayan Chandra Borkataky,Bharatiya Janta Party,1209839,848741,0.702,29866,0.035,2004
Mangalore,GEN,Karnataka,D. V. Sadananda Gowda,Bharatiya Janta Party,1101484,790204,0.717,33415,0.042,2004
Morena,GEN,Madhya Pradesh,Ashok Chhaviram Argal,Bharatiya Janta Party,1434889,486871,0.339,147320,0.303,2004
Mysore,GEN,Karnataka,C. H. Vijayashankar,Bharatiya Janta Party,1478718,957108,0.647,10150,0.011,2004
Nagaur,GEN,Rajasthan,Bhanwar Singh Dangawas,Bharatiya Janta Party,1436070,630118,0.439,70627,0.112,2004
Nanded,GEN,Maharashtra,D. B. Patil,Bharatiya Janta Party,1445611,798771,0.553,24335,0.03,2004
Nowgong,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,1149244,785885,0.684,31412,0.04,2004
Nowrangpur,GEN,Orissa,Parsuram Majhi,Bharatiya Janta Party,1161159,781346,0.673,24890,0.032,2004
Pali,GEN,Rajasthan,Pusp Jain,Bharatiya Janta Party,1195737,541923,0.453,63238,0.117,2004
Panaji,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,425663,253904,0.597,56213,0.221,2004
Patan,GEN,Gujarat,Kanodia Maheshkumar Mithabhai,Bharatiya Janta Party,1132998,538059,0.475,23624,0.044,2004
Porbandar,GEN,Gujarat,Patel Harilal Madhavjibhai (HARIBHAI PATEL),Bharatiya Janta Party,995027,490331,0.493,5703,0.012,2004
Purnea,GEN,Bihar,Uday Singh Alias Pappu Singh,Bharatiya Janta Party,1179491,709015,0.601,12883,0.018,2004
Raipur,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,1370242,689427,0.503,129519,0.188,2004
Rajkot,GEN,Gujarat,Dr. Kathiria Vallabhbhai Ramjibhai,Bharatiya Janta Party,1650135,538380,0.326,143970,0.267,2004
Rewa,GEN,Madhya Pradesh,Chandramani Tripathi,Bharatiya Janta Party,1461014,630281,0.431,44752,0.071,2004
Sagar,GEN,Madhya Pradesh,Virendra Kumar,Bharatiya Janta Party,1250751,479246,0.383,147991,0.309,2004
Salumber,GEN,Rajasthan,Mahaveer Bhagora,Bharatiya Janta Party,1279337,628768,0.492,24774,0.039,2004
Sarangarh,GEN,Chhattisgarh,Guharam Ajgalle,Bharatiya Janta Party,1191389,587744,0.493,59118,0.101,2004
Satna,GEN,Madhya Pradesh,Ganesh Singh,Bharatiya Janta Party,1324818,609727,0.46,83590,0.137,2004
Seoni,GEN,Madhya Pradesh,Neeta Pateriya,Bharatiya Janta Party,1203918,598745,0.497,94801,0.158,2004
Shahdol,GEN,Madhya Pradesh,Dalpat Singh Paraste,Bharatiya Janta Party,1305252,509123,0.39,29349,0.058,2004
Shimoga,GEN,Karnataka,S. Bangarappa,Bharatiya Janta Party,1257953,886294,0.705,76145,0.086,2004
Sholapur,GEN,Maharashtra,Deshmukh Subhash Sureshchandra,Bharatiya Janta Party,1187231,657089,0.554,5798,0.009,2004
Sidhi,GEN,Madhya Pradesh,Chandrapratap Singh,Bharatiya Janta Party,1083701,457029,0.422,49565,0.108,2004
Sikar,GEN,Rajasthan,Subhash Meharia,Bharatiya Janta Party,1476344,777953,0.527,54683,0.07,2004
Sonepat,GEN,Haryana,Kishan Singh Sangwan,Bharatiya Janta Party,1138771,736510,0.647,7569,0.01,2004
South Delhi,GEN,Delhi,Vijay Kumar Malhotra,Bharatiya Janta Party,1018862,478871,0.47,16005,0.033,2004
Sundargarh,GEN,Orissa,Jual Oram,Bharatiya Janta Party,1209123,732302,0.606,39676,0.054,2004
Surat,GEN,Gujarat,Kashiram Rana,Bharatiya Janta Party,2377198,896233,0.377,150563,0.168,2004
Surendranagar,GEN,Gujarat,Koli Patel Somabhai Gandabhai,Bharatiya Janta Party,1109656,455520,0.411,33944,0.075,2004
Tehri Garhwal,GEN,Uttarakhand,Manabendra Shah,Bharatiya Janta Party,1292454,561210,0.434,17446,0.031,2004
Tonk,GEN,Rajasthan,Kailash Meghwal,Bharatiya Janta Party,1278411,593288,0.464,58512,0.099,2004
Tumkur,GEN,Karnataka,S. Mallikarjunaiah,Bharatiya Janta Party,1221507,862673,0.706,2351,0.003,2004
Udaipur,GEN,Rajasthan,Kiran Maheshwari,Bharatiya Janta Party,1363337,758166,0.556,74875,0.099,2004
Vidisha,GEN,Madhya Pradesh,Shivraj Singh Chauhan,Bharatiya Janta Party,1313048,656181,0.5,260726,0.397,2004
Wardha,GEN,Maharashtra,Wagmare Suresh Ganapat,Bharatiya Janta Party,1144924,625840,0.547,3188,0.005,2004
Yavatmal,GEN,Maharashtra,Rathod Harising Nasaru,Bharatiya Janta Party,1133605,663001,0.585,56804,0.086,2004
Ahmedabad East,GEN,Gujarat,Hasmukhbhai Patel (H.S.PATEL),Bharatiya Janta Party,2038162,1128339,0.554,461755,0.409,2024
Ajmer,GEN,Rajasthan,Bhagirath Choudhary,Bharatiya Janta Party,1995699,1201179,0.602,329991,0.275,2024
Akola,GEN,Maharashtra,Anup Sanjay Dhotre,Bharatiya Janta Party,1890814,1173072,0.62,40626,0.035,2024
Alwar,GEN,Rajasthan,Bhupender Yadav,Bharatiya Janta Party,2059888,1253438,0.609,48282,0.039,2024
Amreli,GEN,Gujarat,Bharatbhai Manubhai Sutariya,Bharatiya Janta Party,1732810,876426,0.506,321068,0.366,2024
Anand,GEN,Gujarat,Mitesh Patel (BAKABHAI),Bharatiya Janta Party,1780182,1167969,0.656,89939,0.077,2024
Andaman And Nicobar Islands,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,315148,202514,0.643,24396,0.12,2024
Araria,GEN,Bihar,Pradeep Kumar Singh,Bharatiya Janta Party,2018767,1252560,0.621,20094,0.016,2024
Aska,GEN,Orissa,Anita Subhadarshini,Bharatiya Janta Party,1620974,1017914,0.628,99974,0.098,2024
Bagalkot,GEN,Karnataka,Gaddigoudar. Parvatagouda. Chandanagouda.,Bharatiya Janta Party,1806183,1317561,0.73,68399,0.052,2024
Balaghat,GEN,Madhya Pradesh,Bharti Pardhi,Bharatiya Janta Party,1873653,1382280,0.738,174512,0.126,2024
Balasore,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,1608014,1239635,0.771,147156,0.119,2024
Balurghat,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,1561966,1237308,0.792,10386,0.008,2024
Bangalore Cent,GEN,Karnataka,P C Mohan,Bharatiya Janta Party,2433751,1316510,0.541,32707,0.025,2024
Bangalore Nort,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,3214496,1752504,0.545,259476,0.148,2024
Bangalore Rura,GEN,Karnataka,Dr C N Manjunath,Bharatiya Janta Party,2802580,1919540,0.685,269647,0.14,2024
Bangalore Sout,GEN,Karnataka,Tejasvi Surya,Bharatiya Janta Party,2341759,1249342,0.534,277083,0.222,2024
Bargarh,GEN,Orissa,Pradeep Purohit,Bharatiya Janta Party,1631974,1309864,0.803,251667,0.192,2024
Begusarai,GEN,Bihar,Giriraj Singh,Bharatiya Janta Party,2196089,1294673,0.59,81480,0.063,2024
Belgaum,GEN,Karnataka,Jagadish Shettar,Bharatiya Janta Party,1923788,1383889,0.719,178437,0.129,2024
Berhampur,GEN,Orissa,Dr. Pradeep Kumar Panigrahy,Bharatiya Janta Party,1591380,1042923,0.655,165476,0.159,2024
Bharuch,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1723353,1198964,0.696,85696,0.071,2024
Bhavnagar,GEN,Gujarat,Nimuben Jayantibhai Bambhaniya (NIMUBEN BAMBHANIYA),Bharatiya Janta Party,1916900,1047232,0.546,455289,0.435,2024
Bhilwara,GEN,Rajasthan,Damodar Agarwal,Bharatiya Janta Party,2147159,1304395,0.608,354606,0.272,2024
Bhiwani-Mahend,GEN,Haryana,Dharambir Singh,Bharatiya Janta Party,1793029,1183395,0.66,41510,0.035,2024
Bhopal,GEN,Madhya Pradesh,Alok Sharma,Bharatiya Janta Party,2339411,1498285,0.641,501499,0.335,2024
Bhubaneswar,GEN,Orissa,Aparajita Sarangi,Bharatiya Janta Party,1672774,1082215,0.647,35152,0.032,2024
Bilaspur,GEN,Chhattisgarh,Tokhan Sahu,Bharatiya Janta Party,2102687,1361350,0.647,164558,0.121,2024
Bolangir,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,1801744,1400248,0.777,132664,0.095,2024
Chandni Chowk,GEN,Delhi,Praveen Khandelwal,Bharatiya Janta Party,1645958,966102,0.587,89325,0.092,2024
Chatra,GEN,Jharkhand,Kali Charan Singh,Bharatiya Janta Party,1689926,1086374,0.643,220959,0.203,2024
Chelvella,GEN,Telangana,Konda Vishweshwar Reddy,Bharatiya Janta Party,2938370,1675354,0.57,172897,0.103,2024
Chhindwara,GEN,Madhya Pradesh,Bunty Vivek Sahu,Bharatiya Janta Party,1632190,1304827,0.799,113618,0.087,2024
Chikkballapur,GEN,Karnataka,Dr.K.Sudhakar,Bharatiya Janta Party,1981347,1530820,0.773,163460,0.107,2024
